id,batch_id,event_type,target_temperature_c,target_stirrer_rpm,target_shake_speed_cpm,reason,created_at,previous_hash,event_hash
13731,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:26.479010898+00:00,,
13730,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:24.437327708+00:00,,
13729,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:22.382033557+00:00,,
13728,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:20.334814717+00:00,,
13727,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:18.276898020+00:00,,
13726,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:16.240145523+00:00,,
13725,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:14.184874206+00:00,,
13724,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:12.116242240+00:00,,
13723,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:10.076274178+00:00,,
13722,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:08.029659459+00:00,,
13721,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:05.980827757+00:00,,
13720,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:03.890193398+00:00,,
13719,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:01.848460034+00:00,,
13718,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:59.794866398+00:00,,
13717,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:57.747287986+00:00,,
13716,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:55.705767694+00:00,,
13715,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:53.671027668+00:00,,
13714,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:51.637197222+00:00,,
13713,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:49.590254506+00:00,,
13712,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:47.535647800+00:00,,
13711,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:45.488764084+00:00,,
13710,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:43.444250566+00:00,,
13709,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:41.392704210+00:00,,
13708,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:39.335187905+00:00,,
13707,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:37.280374660+00:00,,
13706,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:35.238679966+00:00,,
13705,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:33.186225465+00:00,,
13704,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:31.141599554+00:00,,
13703,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:29.093821229+00:00,,
13702,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:27.033284126+00:00,,
13701,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:24.982309400+00:00,,
13700,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:22.928698265+00:00,,
13699,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:20.684787267+00:00,,
13698,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:18.642738902+00:00,,
13697,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:16.600470472+00:00,,
13696,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:14.546508757+00:00,,
13695,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:12.510631450+00:00,,
13694,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:10.472907982+00:00,,
13693,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:08.359381002+00:00,,
13692,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:06.293223479+00:00,,
13691,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:04.241597240+00:00,,
13690,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:02.187685115+00:00,,
